,MAPK_P,MAPK_P_P,pERK,t_pERK
337,0.04321090235658979,0.029226113395692845,0.07243701575228263,1685.0
338,0.04299922412327018,0.02891068702467489,0.07190991114794507,1690.0
339,0.042787870373610086,0.028597989637352633,0.07138586001096273,1695.0
340,0.042576831047881604,0.028287987681209388,0.07086481872909099,1700.0
341,0.04236609644006397,0.027980648522445056,0.07034674496250903,1705.0
342,0.042155657195124506,0.027675940423897087,0.0698315976190216,1710.0
343,0.04194550430646362,0.027373832523519603,0.06931933682998323,1715.0
344,0.04173562911351592,0.027074294813395437,0.06880992392691136,1720.0
345,0.04152602329956908,0.02677729811927248,0.06830332141884156,1725.0
346,0.04131667888963345,0.02648281408059061,0.06779949297022406,1730.0
347,0.041107588248567604,0.026190815130993837,0.06729840337956144,1735.0
348,0.04089874407930351,0.025901274479301184,0.06680001855860469,1740.0
349,0.040690139421222356,0.025614166090920553,0.0663043055121429,1745.0
350,0.04048176764867003,0.025329464669691524,0.06581123231836156,1750.0
351,0.04027362246960658,0.025047145640132575,0.06532076810973915,1755.0
352,0.040065697924381645,0.024767185130084284,0.06483288305446593,1760.0
353,0.03985798838463279,0.024489559953734037,0.06434754833836683,1765.0
354,0.03965048855230587,0.024214247594995807,0.06386473614730168,1770.0
355,0.03944319345878349,0.023941226191243715,0.06338441965002721,1775.0
356,0.03923609846411532,0.02367047451737282,0.06290657298148813,1780.0
357,0.039029199256358914,0.0234019719701871,0.06243117122654601,1785.0
358,0.038822491851008896,0.023135698553086163,0.06195819040409506,1790.0
359,0.03861597259051425,0.02287163486105208,0.061487607451566326,1795.0
360,0.03840963814388699,0.022609762065909325,0.061019400209796314,1800.0
361,0.03820348550637276,0.022350061901859935,0.0605535474082327,1805.0
362,0.037997511999207936,0.022092516651272508,0.060090028650480444,1810.0
363,0.037791715269430606,0.021837109130718162,0.05962882440014877,1815.0
364,0.03758609328975581,0.021583822677238008,0.05916991596699382,1820.0
365,0.03738064435849933,0.021332641134839892,0.05871328549333922,1825.0
366,0.03717536709954797,0.021083548841206144,0.05825891594075411,1830.0
367,0.03697026046236658,0.02083653061460621,0.057806791076972786,1835.0
368,0.036765323722041866,0.020591571741005975,0.05735689546304784,1840.0
369,0.03656055647934695,0.02034865796136202,0.05690921444070897,1845.0
370,0.03635595866082543,0.020107775459092012,0.05646373411991744,1850.0
371,0.036151530518888295,0.019868910847719055,0.056020441366607346,1855.0
372,0.035947272631913774,0.019632051158677246,0.05557932379059102,1860.0
373,0.03574318590434655,0.019397183829263503,0.055140369733610056,1865.0
374,0.03553927156678545,0.019164296690749632,0.054703568257535085,1870.0
375,0.03533553117605391,0.01893337795662248,0.05426890913267639,1875.0
376,0.035131966615249394,0.01870441621096786,0.05383638282621725,1880.0
377,0.034928580093756434,0.01847740039697441,0.053405980490730844,1885.0
378,0.0347253741472254,0.018252319805572775,0.05297769395279818,1890.0
379,0.034522351637500906,0.018029164064171342,0.05255151570167225,1895.0
380,0.034319515752500085,0.017807923125523668,0.05212743887802375,1900.0
381,0.03411687000602393,0.01758858725669427,0.051705457262718205,1905.0
382,0.033914418237505045,0.01737114702813037,0.051285565265635415,1910.0
